cve_ent,ent,anio,pob_tot,i_analf,i_asistesc,i_edbasinc,i_sdsalud,i_ptierra,i_nosan,i_noagua,i_nodren,i_noelec,i_nolav,i_noref,irs,grs,lugar
24,San Luis Potosí,2015,2717820,6.28019,2.6233,37.2119,10.194,5.48918,3.1515,10.2997,13.1531,2.51002,31.3277,17.4438,0.6110144,Alto,7
25,Sinaloa,2015,2966321,4.15694,2.81417,34.0879,14.2951,2.7869,3.49885,3.09661,5.54477,0.6446,25.2952,6.35334,-0.4578008,Bajo,21
26,Sonora,2015,2850330,2.18078,2.83929,26.9467,13.59,2.60069,2.04953,2.67326,6.57066,1.34706,25.9518,6.64804,-0.5882048,Bajo,25
27,Tabasco,2015,2395272,5.35658,3.07113,33.3484,14.8925,3.73611,3.05392,9.83668,2.47924,0.57375,25.1702,13.3392,-0.1544757,Medio,14
28,Tamaulipas,2015,3441698,3.00464,3.51513,31.7438,14.495,1.59028,1.15652,2.61005,8.02586,0.9517,22.8518,7.46244,-0.5268046,Bajo,23
29,Tlaxcala,2015,1272847,3.9486,2.52159,32.2884,16.3504,2.05698,2.45568,1.26729,3.08176,0.61159,46.7337,28.3481,-0.1736643,Medio,15
30,Veracruz,2015,8112505,9.44245,4.11859,45.097,20.722,6.61265,2.49776,13.0467,11.3782,1.84309,41.0609,21.1503,1.199394,Muy alto,4
31,Yucatán,2015,2097175,7.41281,2.42941,38.9017,13.3986,1.63872,10.3737,1.82809,12.3372,1.30793,27.5777,18.7202,0.2944613,Alto,10
32,Zacatecas,2015,1579209,4.38765,3.00078,39.0005,12.7974,1.3253,5.06243,3.17035,6.42115,0.74537,20.222,10.6067,-0.3303741,Bajo,17
00,Nacional,2010,112336538,6.87763,4.77421,41.11264,33.84506,6.14862,4.65638,11.27503,8.96263,1.82349,33.61765,17.99783,,,
01,Aguascalientes,2010,1184996,3.25624,4.26265,35.56569,21.06303,1.65829,1.73012,2.01675,1.65587,0.66408,17.48114,8.61677,-1.106007,Muy bajo,29
02,Baja California,2010,3155070,2.57149,4.04112,35.01536,28.8095,3.28552,2.07995,4.67324,5.769,1.10205,20.54232,7.96645,-0.8551109,Muy bajo,28
03,Baja California Sur,2010,637026,3.21114,3.63889,34.31526,22.78792,5.73735,2.57075,11.76605,5.60138,3.08947,31.95731,11.71806,-0.4737957,Bajo,21
04,Campeche,2010,822441,8.30748,4.79173,42.20416,22.15296,4.6647,7.67228,14.89661,13.98182,3.05956,29.26022,21.51045,0.2162093,Alto,10
05,Coahuila,2010,2748391,2.62532,3.7369,32.45509,21.92443,1.5542,2.07702,3.19831,4.31499,0.7081,17.55067,5.73985,-1.160584,Muy bajo,30
06,Colima,2010,650555,5.12919,5.06527,38.9417,17.33535,4.46392,1.51534,2.64046,1.05821,0.77594,27.9632,9.50699,-0.8031844,Muy bajo,27
07,Chiapas,2010,4796580,17.7971,8.91461,59.93439,41.72831,14.70864,6.23247,26.03836,15.9744,3.68082,63.83083,42.11074,2.27118,Muy alto,3
08,Chihuahua,2010,3406465,3.66163,5.41493,40.16283,23.45452,3.15666,3.51574,5.07112,6.46068,3.28316,18.86801,8.67262,-0.4991516,Bajo,23
09,Distrito Federal,2010,8851080,2.08769,3.04601,25.15799,33.56736,1.01991,1.09075,2.43949,0.30052,0.09445,22.35308,9.32095,-1.283248,Muy bajo,31
10,Durango,2010,1632934,3.81884,4.8658,41.66251,29.84701,6.30159,7.11118,7.05873,10.67029,3.56914,29.70856,13.52922,-0.0083111,Medio,12
11,Guanajuato,2010,5486372,8.18331,4.84713,49.77925,29.61172,4.14755,7.62347,8.0458,8.98938,1.57518,27.14064,13.95476,-0.0026379,Medio,11
12,Guerrero,2010,3388768,16.67696,6.49054,53.74672,45.74536,18.34631,19.52188,37.74263,22.54635,4.17968,60.5694,26.80688,2.515737,Muy alto,1
13,Hidalgo,2010,2665018,10.2329,3.29323,43.18709,33.79321,7.12049,7.69938,12.71725,14.08962,2.86667,51.7144,28.33709,0.6076962,Alto,7
14,Jalisco,2010,7350682,4.36366,5.27374,41.18635,34.50906,3.02237,2.37264,5.33981,2.0605,0.82506,19.19559,7.34932,-0.6573023,Muy bajo,25
15,México,2010,15175862,4.38222,3.83792,34.76036,40.38644,3.75863,4.0193,7.80509,5.26338,0.81465,34.29365,20.59973,-0.3651292,Bajo,19
16,Michoacán,2010,4351037,10.18135,7.12814,53.70957,44.3646,10.25463,4.9617,11.82491,10.76231,1.74831,34.75535,18.16366,0.7547382,Alto,6
17,Morelos,2010,1777227,6.42055,5.14734,37.19034,35.27771,7.21248,3.17206,12.38684,4.42686,0.96817,38.11352,14.24746,-0.1336363,Medio,16
18,Nayarit,2010,1084979,6.31355,4.19544,40.51957,22.7715,3.95802,5.40945,11.67971,5.6218,3.04247,29.11597,13.60884,-0.2467324,Bajo,17
19,Nuevo León,2010,4653458,2.19869,2.98154,28.33002,20.33484,2.01089,2.27065,3.08207,2.6382,0.39367,14.50466,5.58746,-1.36996,Muy bajo,32
20,Oaxaca,2010,3801962,16.27375,5.63836,57.79752,43.0806,18.73691,5.41365,30.09735,28.34994,5.22831,62.699,40.04362,2.417787,Muy alto,2
21,Puebla,2010,5779829,10.37632,5.77615,49.09461,49.28208,9.45739,4.60091,16.16564,12.30947,1.86123,52.0606,36.30908,1.067469,Alto,5
22,Querétaro,2010,1827937,6.31389,3.83608,38.56407,25.18249,3.7418,7.24144,8.06525,8.41583,2.06063,34.04191,16.00075,-0.2473075,Bajo,18
23,Quintana Roo,2010,1325578,4.77232,4.26553,33.4393,29.81235,3.69823,5.15884,8.16243,4.87322,2.04949,30.14108,18.4556,-0.3987675,Bajo,20
24,San Luis Potosí,2010,2585518,7.90938,3.5442,44.19529,25.92413,8.73007,5.1559,16.79436,18.65111,4.12596,35.21383,21.93474,0.4852383,Alto,8
25,Sinaloa,2010,2767761,4.97336,3.78653,39.67235,24.46758,6.13654,5.1162,9.61265,7.82171,1.22486,26.72503,7.00701,-0.4841604,Bajo,22
